Datum,Ziekenhuisbezetting,Intensieve zorg,Niet-intensieve zorg,Nieuwe opnames
2021-09-01,661,193,468,66
2021-09-02,657,195,462,74
2021-09-03,683,200,483,66
2021-09-04,669,218,451,80
2021-09-05,687,229,458,56
2021-09-06,725,237,488,66
2021-09-07,702,226,476,82
2021-09-08,704,220,484,64
2021-09-09,709,217,492,64
2021-09-10,703,228,475,61
2021-09-11,675,219,456,47
2021-09-12,681,218,463,42
2021-09-13,702,224,478,58
2021-09-14,699,219,480,77
2021-09-15,683,215,468,62
2021-09-16,703,220,483,77
2021-09-17,713,213,500,56
2021-09-18,696,213,483,57
2021-09-19,709,215,494,43
2021-09-20,727,222,505,46
2021-09-21,684,214,470,60
2021-09-22,688,217,471,61
2021-09-23,691,216,475,65
2021-09-24,662,209,453,32
2021-09-25,646,196,450,52
2021-09-26,667,202,465,39
2021-09-27,700,206,494,55
2021-09-28,702,207,495,72
2021-09-29,699,217,482,66
2021-09-30,714,213,501,64
2021-10-01,703,204,499,62
2021-10-02,697,203,494,63
2021-10-03,704,197,507,44
2021-10-04,734,211,523,42
2021-10-05,748,210,538,75
2021-10-06,730,209,521,62
2021-10-07,733,195,538,54
2021-10-08,725,204,521,64
2021-10-09,692,196,496,53
2021-10-10,706,193,513,41
2021-10-11,744,197,547,50
2021-10-12,766,201,565,70
2021-10-13,782,201,581,70
2021-10-14,793,193,600,78
2021-10-15,824,190,634,61
2021-10-16,832,202,630,97
2021-10-17,856,209,647,59
2021-10-18,919,232,687,82
2021-10-19,947,230,717,107
2021-10-20,997,240,757,130
2021-10-21,1038,232,806,121
2021-10-22,1115,251,864,126
2021-10-23,1121,246,875,114
2021-10-24,1175,256,919,94
2021-10-25,1302,264,1038,122
2021-10-26,1325,260,1065,158
2021-10-27,1392,256,1136,158
2021-10-28,1435,257,1178,150
2021-10-29,1544,277,1267,185
2021-10-30,1564,298,1266,187
2021-10-31,1626,305,1321,112
2021-11-01,1698,324,1374,125
2021-11-02,1803,337,1466,168
2021-11-03,1866,343,1523,237
2021-11-04,1909,363,1546,201
2021-11-05,1939,384,1555,179
2021-11-06,1882,379,1503,178
2021-11-07,1955,391,1564,154
2021-11-08,2078,418,1660,175
2021-11-09,2152,434,1718,260
2021-11-10,2279,451,1828,291
2021-11-11,2308,471,1837,227
2021-11-12,2407,487,1920,177
2021-11-13,2407,489,1918,283
2021-11-14,2496,507,1989,209
2021-11-15,2667,540,2127,209
2021-11-16,2709,557,2152,288
2021-11-17,2839,568,2271,318
2021-11-18,2897,577,2320,295
2021-11-19,2990,603,2387,312
2021-11-20,3005,618,2387,294
2021-11-21,3173,632,2541,251
2021-11-22,3325,654,2671,243
2021-11-23,3367,657,2710,369
2021-11-24,3439,659,2780,344
2021-11-25,3489,669,2820,354
2021-11-26,3493,682,2811,323
2021-11-27,3441,696,2745,322
2021-11-28,3546,722,2824,245
2021-11-29,3698,760,2938,277
2021-11-30,3750,780,2970,386
2021-12-01,3729,793,2936,350
2021-12-02,3708,821,2887,325
2021-12-03,3613,804,2809,298
2021-12-04,3534,804,2730,312
2021-12-05,3579,809,2770,226
2021-12-06,3662,817,2845,208
2021-12-07,3554,815,2739,332
2021-12-08,3513,825,2688,295
2021-12-09,3448,827,2621,309
2021-12-10,3364,838,2526,292
2021-12-11,3281,839,2442,265
2021-12-12,3288,827,2461,207
2021-12-13,3382,838,2544,186
2021-12-14,3262,815,2447,288
2021-12-15,3120,804,2316,231
2021-12-16,2970,789,2181,186
