Datum,Besmettingen,Totaal aantal besmettingen,7-daags gemiddelde,baseline
2021-09-01,2222,1182601,2019.0,0
2021-09-02,2113,1184714,2008.0,0
2021-09-03,2155,1186869,2000.0,0
2021-09-04,1240,1188109,1981.0,0
2021-09-05,733,1188842,1966.0,0
2021-09-06,2800,1191642,1946.0,0
2021-09-07,2361,1194003,1946.0,0
2021-09-08,2190,1196193,1942.0,0
2021-09-09,2105,1198298,1941.0,0
2021-09-10,2323,1200621,1965.0,0
2021-09-11,1306,1201927,1974.0,0
2021-09-12,679,1202606,1966.0,0
2021-09-13,2930,1205536,1985.0,0
2021-09-14,2498,1208034,2004.0,0
2021-09-15,2322,1210356,2023.0,0
2021-09-16,2426,1212782,2069.0,0
2021-09-17,2390,1215172,2079.0,0
2021-09-18,1260,1216432,2072.0,0
2021-09-19,652,1217084,2068.0,0
2021-09-20,2940,1220024,2070.0,0
2021-09-21,2269,1222293,2037.0,0
2021-09-22,2171,1224464,2015.0,0
2021-09-23,2080,1226544,1966.0,0
2021-09-24,2253,1228797,1946.0,0
2021-09-25,1216,1230013,1940.0,0
2021-09-26,723,1230736,1950.0,0
2021-09-27,2628,1233364,1906.0,0
2021-09-28,2391,1235755,1923.0,0
2021-09-29,2167,1237922,1923.0,0
2021-09-30,2164,1240086,1935.0,0
2021-10-01,2149,1242235,1920.0,0
2021-10-02,1147,1243382,1910.0,0
2021-10-03,679,1244061,1904.0,0
2021-10-04,2791,1246852,1927.0,0
2021-10-05,2290,1249142,1912.0,0
2021-10-06,2545,1251687,1966.0,0
2021-10-07,2517,1254204,2017.0,0
2021-10-08,2545,1256749,2073.0,0
2021-10-09,1424,1258173,2113.0,0
2021-10-10,820,1258993,2133.0,0
2021-10-11,3924,1262917,2295.0,0
2021-10-12,3435,1266352,2459.0,0
2021-10-13,3597,1269949,2609.0,0
2021-10-14,3890,1273839,2805.0,0
2021-10-15,4168,1278007,3037.0,0
2021-10-16,2376,1280383,3173.0,0
2021-10-17,1490,1281873,3269.0,0
2021-10-18,6570,1288443,3647.0,0
2021-10-19,6296,1294739,4055.0,0
2021-10-20,6552,1301291,4477.0,0
2021-10-21,6906,1308197,4908.0,0
2021-10-22,7149,1315346,5334.0,0
2021-10-23,4090,1319436,5579.0,0
2021-10-24,2450,1321886,5716.0,0
2021-10-25,9703,1331589,6164.0,0
2021-10-26,9401,1340990,6607.0,0
2021-10-27,9225,1350215,6989.0,0
2021-10-28,9196,1359411,7316.0,0
2021-10-29,9290,1368701,7622.0,0
2021-10-30,4972,1373673,7748.0,0
2021-10-31,3059,1376732,7835.0,0
2021-11-01,3582,1380314,6961.0,0
2021-11-02,11715,1392029,7291.0,0
2021-11-03,10706,1402735,7503.0,0
2021-11-04,10183,1412918,7644.0,0
2021-11-05,11143,1424061,7909.0,0
2021-11-06,6454,1430515,8120.0,0
2021-11-07,4073,1434588,8265.0,0
2021-11-08,15267,1449855,9934.0,0
2021-11-09,13017,1462872,10120.0,0
2021-11-10,12751,1475623,10413.0,0
2021-11-11,5055,1480678,9680.0,0
2021-11-12,13752,1494430,10053.0,0
2021-11-13,8364,1502794,10326.0,0
2021-11-14,5506,1508300,10530.0,0
2021-11-15,20838,1529138,11326.0,0
2021-11-16,18431,1547569,12100.0,0
2021-11-17,18148,1565717,12871.0,0
2021-11-18,18574,1584291,14802.0,0
2021-11-19,19151,1603442,15573.0,0
2021-11-20,11215,1614657,15980.0,0
2021-11-21,6754,1621411,16159.0,0
2021-11-22,25625,1647036,16843.0,0
2021-11-23,21139,1668175,17229.0,0
2021-11-24,20175,1688350,17519.0,0
2021-11-25,20231,1708581,17756.0,0
2021-11-26,20045,1728626,17883.0,0
2021-11-27,11590,1740216,17937.0,0
2021-11-28,7072,1747288,17982.0,0
2021-11-29,25209,1772497,17923.0,0
2021-11-30,20869,1793366,17884.0,0
2021-12-01,19670,1813036,17812.0,0
2021-12-02,18330,1831366,17541.0,0
2021-12-03,17769,1849135,17216.0,0
2021-12-04,9637,1858772,16937.0,0
2021-12-05,5978,1864750,16780.0,0
2021-12-06,20741,1885491,16142.0,0
2021-12-07,15681,1901172,15401.0,0
2021-12-08,15081,1916253,14745.0,0
2021-12-09,13437,1929690,14046.0,0
2021-12-10,13103,1942793,13380.0,0
2021-12-11,7112,1949905,13019.0,0
2021-12-12,3907,1953812,12723.0,0
2021-12-13,13885,1967697,11744.0,0
2021-12-14,10584,1978281,11016.0,0
2021-12-15,9284,1987565,10187.0,0
2021-12-16,8110,1995675,9426.0,0
2021-12-17,7745,2003420,8661.0,0
2021-12-18,4753,2008173,8324.0,0
2021-12-19,2850,2011023,8173.0,0
2021-12-20,9121,2020144,7492.0,0
2021-12-21,7380,2027524,7035.0,0
2021-12-22,7392,2034916,6764.0,0
2021-12-23,7525,2042441,6681.0,0
2021-12-24,6523,2048964,6506.0,0
2021-12-25,2818,2051782,6230.0,0
2021-12-26,4567,2056349,6475.0,0
2021-12-27,13298,2069647,7072.0,0
2021-12-28,12819,2082466,7849.0,0
2021-12-29,15046,2097512,8942.0,0
2021-12-30,16062,2113574,10162.0,0
2021-12-31,12297,2125871,10987.0,0
2022-01-01,4070,2129941,11166.0,0
2022-01-02,9092,2139033,11812.0,0
2022-01-03,27581,2166614,13852.0,0
2022-01-04,28141,2194755,16041.0,0
2022-01-05,26048,2220803,17613.0,0
2022-01-06,23665,2244468,18699.0,0
2022-01-07,23808,2268276,20344.0,0
2022-01-08,15350,2283626,21955.0,0
2022-01-09,11228,2294854,22260.0,0
2022-01-10,37775,2332629,23716.0,0
2022-01-11,31707,2364336,24226.0,0
2022-01-12,31164,2395500,24957.0,0
2022-01-13,30113,2425613,25878.0,0
2022-01-14,31859,2457472,27028.0,0
2022-01-15,21184,2478656,27861.0,0
2022-01-16,14998,2493654,28400.0,0
2022-01-17,62738,2556392,31966.0,0
2022-01-18,60743,2617135,36114.0,0
2022-01-19,60921,2678056,40365.0,0
2022-01-20,57284,2735340,44247.0,0
2022-01-21,56456,2791796,47761.0,0
2022-01-22,32797,2824593,49420.0,0
2022-01-23,20750,2845343,50241.0,0
2022-01-24,76034,2921377,52141.0,0
2022-01-25,62543,2983920,52398.0,0
2022-01-26,54793,3038713,51522.0,0
2022-01-27,47547,3086260,50131.0,0
2022-01-28,41455,3127715,47988.0,0
2022-01-29,23223,3150938,46621.0,0
2022-01-30,13246,3164184,45549.0,0
2022-01-31,50096,3214280,41843.0,0
2022-02-01,36783,3251063,38163.0,0
2022-02-02,30900,3281963,34750.0,0
2022-02-03,25892,3307855,31656.0,0
2022-02-04,22420,3330275,28937.0,0
2022-02-05,12501,3342776,27405.0,0
2022-02-06,7305,3350081,26557.0,0
2022-02-07,27430,3377511,23319.0,0
2022-02-08,19443,3396954,20842.0,0
2022-02-09,16808,3413762,18828.0,0
2022-02-10,14224,3427986,17162.0,0
2022-02-11,12209,3440195,15703.0,0
2022-02-12,6770,3446965,14884.0,0
