Datum,Besmettingen,Totaal aantal besmettingen,7-daags gemiddelde,baseline
2020-11-01,2667,451390,14221.0,0
2020-11-02,13858,465248,13363.0,0
2020-11-03,12103,477351,11918.0,0
2020-11-04,9231,486582,10666.0,0
2020-11-05,7660,494242,9604.0,0
2020-11-06,6648,500890,8354.0,0
2020-11-07,3046,503936,7888.0,0
2020-11-08,1449,505385,7714.0,0
2020-11-09,8637,514022,6968.0,0
2020-11-10,7701,521723,6339.0,0
2020-11-11,2004,523727,5306.0,0
2020-11-12,6482,530209,5138.0,0
2020-11-13,5711,535920,5004.0,0
2020-11-14,2371,538291,4908.0,0
2020-11-15,1057,539348,4852.0,0
2020-11-16,5821,545169,4450.0,0
2020-11-17,4829,549998,4039.0,0
2020-11-18,3703,553701,4282.0,0
2020-11-19,3019,556720,3787.0,0
2020-11-20,3082,559802,3412.0,0
2020-11-21,1263,561065,3253.0,0
2020-11-22,589,561654,3187.0,0
2020-11-23,3958,565612,2920.0,0
2020-11-24,2877,568489,2642.0,0
2020-11-25,2685,571174,2496.0,0
2020-11-26,2428,573602,2412.0,0
2020-11-27,2741,576343,2363.0,0
2020-11-28,1006,577349,2326.0,0
2020-11-29,560,577909,2322.0,0
2020-11-30,3304,581213,2229.0,0
2020-12-01,2698,583911,2203.0,0
2020-12-02,2619,586530,2194.0,0
2020-12-03,2386,588916,2188.0,0
2020-12-04,2567,591483,2163.0,0
2020-12-05,1101,592584,2176.0,0
2020-12-06,601,593185,2182.0,0
2020-12-07,3371,596556,2192.0,0
2020-12-08,2725,599281,2196.0,0
2020-12-09,2769,602050,2217.0,0
2020-12-10,2676,604726,2259.0,0
2020-12-11,2920,607646,2309.0,0
2020-12-12,1595,609241,2380.0,0
2020-12-13,742,609983,2400.0,0
2020-12-14,3843,613826,2467.0,0
2020-12-15,3239,617065,2541.0,0
2020-12-16,2856,619921,2553.0,0
2020-12-17,2795,622716,2570.0,0
2020-12-18,2835,625551,2558.0,0
2020-12-19,1462,627013,2539.0,0
2020-12-20,655,627668,2526.0,0
2020-12-21,3395,631063,2462.0,0
2020-12-22,2707,633770,2386.0,0
2020-12-23,2463,636233,2330.0,0
2020-12-24,1783,638016,2186.0,0
2020-12-25,520,638536,1855.0,0
2020-12-26,1160,639696,1812.0,0
2020-12-27,558,640254,1798.0,0
2020-12-28,2749,643003,1706.0,0
2020-12-29,2420,645423,1665.0,0
2020-12-30,2081,647504,1610.0,0
2020-12-31,1721,649225,1601.0,0
2021-01-01,482,649707,1596.0,0
2021-01-02,1121,650828,1590.0,0
2021-01-03,821,651649,1628.0,0
2021-01-04,3122,654771,1681.0,0
2021-01-05,2823,657594,1739.0,0
2021-01-06,2518,660112,1801.0,0
2021-01-07,1982,662094,1838.0,0
2021-01-08,2052,664146,2063.0,0
2021-01-09,1394,665540,2102.0,0
2021-01-10,858,666398,2107.0,0
2021-01-11,3083,669481,2101.0,0
2021-01-12,2489,671970,2054.0,0
2021-01-13,2219,674189,2011.0,0
2021-01-14,2193,676382,2041.0,0
2021-01-15,2177,678559,2059.0,0
2021-01-16,1191,679750,2030.0,0
2021-01-17,722,680472,2011.0,0
2021-01-18,3049,683521,2006.0,0
2021-01-19,2487,686008,2005.0,0
2021-01-20,2546,688554,2052.0,0
2021-01-21,2387,690941,2080.0,0
2021-01-22,2637,693578,2146.0,0
2021-01-23,1399,694977,2175.0,0
2021-01-24,822,695799,2190.0,0
2021-01-25,3422,699221,2243.0,0
2021-01-26,2780,702001,2285.0,0
2021-01-27,2599,704600,2292.0,0
2021-01-28,2609,707209,2324.0,0
2021-01-29,3034,710243,2381.0,0
2021-01-30,1573,711816,2406.0,0
2021-01-31,863,712679,2411.0,0
2021-02-01,3383,716062,2406.0,0
2021-02-02,2683,718745,2392.0,0
2021-02-03,2416,721161,2366.0,0
2021-02-04,2414,723575,2338.0,0
2021-02-05,2485,726060,2260.0,0
2021-02-06,1271,727331,2216.0,0
2021-02-07,602,727933,2179.0,0
2021-02-08,2610,730543,2069.0,0
2021-02-09,2157,732700,1994.0,0
2021-02-10,2157,734857,1957.0,0
2021-02-11,2102,736959,1912.0,0
2021-02-12,2045,739004,1849.0,0
2021-02-13,1136,740140,1830.0,0
2021-02-14,612,740752,1831.0,0
2021-02-15,2793,743545,1857.0,0
2021-02-16,2398,745943,1892.0,0
2021-02-17,2557,748500,1949.0,0
2021-02-18,2579,751079,2017.0,0
2021-02-19,2845,753924,2131.0,0
2021-02-20,1561,755485,2192.0,0
2021-02-21,816,756301,2221.0,0
2021-02-22,3381,759682,2305.0,0
2021-02-23,2919,762601,2380.0,0
2021-02-24,2764,765365,2409.0,0
2021-02-25,2662,768027,2421.0,0
2021-02-26,2836,770863,2420.0,0
2021-02-27,1504,772367,2412.0,0
2021-02-28,718,773085,2398.0,0
2021-03-01,3244,776329,2378.0,0
2021-03-02,2775,779104,2358.0,0
2021-03-03,2772,781876,2359.0,0
2021-03-04,2708,784584,2365.0,0
2021-03-05,2751,787335,2353.0,0
2021-03-06,1524,788859,2356.0,0
2021-03-07,795,789654,2367.0,0
2021-03-08,3710,793364,2434.0,0
2021-03-09,3420,796784,2526.0,0
2021-03-10,3412,800196,2617.0,0
2021-03-11,3515,803711,2732.0,0
2021-03-12,3765,807476,2877.0,0
2021-03-13,2182,809658,2971.0,0
2021-03-14,1397,811055,3057.0,0
2021-03-15,5279,816334,3281.0,0
2021-03-16,4606,820940,3451.0,0
2021-03-17,4843,825783,3655.0,0
2021-03-18,5047,830830,3874.0,0
2021-03-19,5197,836027,4079.0,0
2021-03-20,2841,838868,4173.0,0
2021-03-21,1590,840458,4200.0,0
2021-03-22,6284,846742,4344.0,0
2021-03-23,5997,852739,4543.0,0
2021-03-24,5554,858293,4644.0,0
2021-03-25,5578,863871,4720.0,0
2021-03-26,5714,869585,4794.0,0
2021-03-27,3056,872641,4825.0,0
2021-03-28,1683,874324,4838.0,0
2021-03-29,6153,880477,4819.0,0
2021-03-30,5195,885672,4705.0,0
2021-03-31,4704,890376,4583.0,0
2021-04-01,4684,895060,4456.0,0
2021-04-02,4879,899939,4336.0,0
2021-04-03,2694,902633,4285.0,0
2021-04-04,1472,904105,4254.0,0
2021-04-05,1572,905677,3600.0,0
2021-04-06,5188,910865,3599.0,0
2021-04-07,4723,915588,3602.0,0
2021-04-08,4451,920039,3568.0,0
2021-04-09,4479,924518,3511.0,0
2021-04-10,2348,926866,3462.0,0
2021-04-11,1297,928163,3437.0,0
2021-04-12,4718,932881,3886.0,0
2021-04-13,4276,937157,3756.0,0
2021-04-14,3897,941054,3638.0,0
2021-04-15,3690,944744,3529.0,0
2021-04-16,3870,948614,3442.0,0
