Datum,Overlijdens,7-daags gemiddelde
2020-11-01,164,152.0
2020-11-02,213,165.0
2020-11-03,174,171.0
2020-11-04,200,179.0
2020-11-05,210,189.0
2020-11-06,218,194.0
2020-11-07,210,198.0
2020-11-08,210,205.0
2020-11-09,198,203.0
2020-11-10,219,209.0
2020-11-11,194,208.0
2020-11-12,172,203.0
2020-11-13,183,198.0
2020-11-14,178,193.0
2020-11-15,192,191.0
2020-11-16,195,190.0
2020-11-17,157,182.0
2020-11-18,160,177.0
2020-11-19,172,177.0
2020-11-20,171,175.0
2020-11-21,140,170.0
2020-11-22,136,162.0
2020-11-23,141,154.0
2020-11-24,123,149.0
2020-11-25,139,146.0
2020-11-26,117,138.0
2020-11-27,125,132.0
2020-11-28,118,128.0
2020-11-29,118,126.0
2020-11-30,102,120.0
2020-12-01,110,118.0
2020-12-02,117,115.0
2020-12-03,94,112.0
2020-12-04,110,110.0
2020-12-05,87,105.0
2020-12-06,85,101.0
2020-12-07,97,100.0
2020-12-08,93,98.0
2020-12-09,90,94.0
2020-12-10,95,94.0
2020-12-11,114,94.0
2020-12-12,87,94.0
2020-12-13,92,95.0
2020-12-14,100,96.0
2020-12-15,103,97.0
2020-12-16,98,98.0
2020-12-17,90,98.0
2020-12-18,84,93.0
2020-12-19,93,94.0
2020-12-20,89,94.0
2020-12-21,70,90.0
2020-12-22,102,89.0
2020-12-23,93,89.0
2020-12-24,81,87.0
2020-12-25,67,85.0
2020-12-26,64,81.0
2020-12-27,61,77.0
2020-12-28,63,76.0
2020-12-29,77,72.0
2020-12-30,74,70.0
2020-12-31,87,70.0
2021-01-01,50,68.0
2021-01-02,64,68.0
2021-01-03,42,65.0
2021-01-04,59,65.0
2021-01-05,63,63.0
2021-01-06,56,60.0
2021-01-07,53,55.0
2021-01-08,50,55.0
2021-01-09,52,54.0
2021-01-10,56,56.0
2021-01-11,53,55.0
2021-01-12,51,53.0
2021-01-13,41,51.0
2021-01-14,62,52.0
2021-01-15,48,52.0
2021-01-16,46,51.0
2021-01-17,44,49.0
2021-01-18,58,50.0
2021-01-19,61,51.0
2021-01-20,49,53.0
2021-01-21,53,51.0
2021-01-22,49,51.0
2021-01-23,67,54.0
2021-01-24,39,54.0
2021-01-25,44,52.0
2021-01-26,52,50.0
2021-01-27,41,49.0
2021-01-28,55,50.0
2021-01-29,44,49.0
2021-01-30,29,43.0
2021-01-31,32,42.0
2021-02-01,38,42.0
2021-02-02,52,42.0
2021-02-03,41,42.0
2021-02-04,34,39.0
2021-02-05,55,40.0
2021-02-06,41,42.0
2021-02-07,40,43.0
2021-02-08,37,43.0
2021-02-09,41,41.0
2021-02-10,42,41.0
2021-02-11,35,42.0
2021-02-12,43,40.0
2021-02-13,31,38.0
2021-02-14,52,40.0
2021-02-15,37,40.0
2021-02-16,39,40.0
2021-02-17,28,38.0
2021-02-18,33,38.0
2021-02-19,28,35.0
2021-02-20,21,34.0
2021-02-21,26,30.0
2021-02-22,20,28.0
2021-02-23,25,26.0
2021-02-24,22,25.0
2021-02-25,28,24.0
2021-02-26,22,23.0
2021-02-27,29,25.0
2021-02-28,30,25.0
2021-03-01,29,26.0
2021-03-02,25,26.0
2021-03-03,26,27.0
2021-03-04,16,25.0
2021-03-05,33,27.0
2021-03-06,25,26.0
2021-03-07,19,25.0
2021-03-08,36,26.0
2021-03-09,23,25.0
2021-03-10,24,25.0
2021-03-11,26,27.0
2021-03-12,20,25.0
2021-03-13,24,25.0
2021-03-14,20,25.0
2021-03-15,25,23.0
2021-03-16,27,24.0
2021-03-17,25,24.0
2021-03-18,26,24.0
2021-03-19,31,25.0
2021-03-20,24,25.0
2021-03-21,24,26.0
2021-03-22,33,27.0
2021-03-23,24,27.0
2021-03-24,27,27.0
2021-03-25,34,28.0
2021-03-26,20,27.0
2021-03-27,28,27.0
2021-03-28,23,27.0
2021-03-29,31,27.0
2021-03-30,33,28.0
2021-03-31,31,29.0
2021-04-01,40,29.0
2021-04-02,46,33.0
2021-04-03,40,35.0
2021-04-04,36,37.0
2021-04-05,49,39.0
2021-04-06,45,41.0
2021-04-07,42,43.0
2021-04-08,43,43.0
2021-04-09,44,43.0
2021-04-10,46,44.0
2021-04-11,22,42.0
2021-04-12,43,41.0
2021-04-13,37,40.0
2021-04-14,39,39.0
2021-04-15,42,39.0
2021-04-16,45,39.0
2021-04-17,30,37.0
2021-04-18,34,39.0
2021-04-19,50,40.0
2021-04-20,36,39.0
2021-04-21,36,39.0
2021-04-22,43,39.0
2021-04-23,42,39.0
2021-04-24,35,39.0
2021-04-25,39,40.0
2021-04-26,44,39.0
2021-04-27,26,38.0
2021-04-28,49,40.0
2021-04-29,46,40.0
2021-04-30,33,39.0
2021-05-01,28,38.0
2021-05-02,34,37.0
2021-05-03,43,37.0
2021-05-04,40,39.0
2021-05-05,38,37.0
2021-05-06,38,36.0
2021-05-07,26,35.0
2021-05-08,42,37.0
2021-05-09,32,37.0
2021-05-10,28,35.0
2021-05-11,17,32.0
2021-05-12,19,29.0
2021-05-13,21,26.0
2021-05-14,20,26.0
2021-05-15,22,23.0
2021-05-16,17,21.0
2021-05-17,23,20.0
2021-05-18,17,20.0
2021-05-19,25,21.0
2021-05-20,15,20.0
2021-05-21,17,19.0
2021-05-22,17,19.0
2021-05-23,10,18.0
